,Label,Example Picture,Description,Prevention,Treatment
10,Corn(maize) healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Corn_%28maize%29___healthy/028ed539-32f5-4540-a6af-466179837de9___R.S_HL%208212%20copy.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240526%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240526T120451Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=7c2bec71e45e7371dbac00dfba59c9fed459ec5e2410f4075bd2e8da0f79fec4d5e6fc77b0fbe5447830eab8567ad963dcad87172ce87a8e9a301111dbb3e0fd14ba62ce852a4a6c9f36e41cc316a6b0a1317685fa3332400c1995b6c30836b11cff025b70ef09f660e612511736657084401476148c29a5bff5d83c4ef1ada304f6a6b65e421246f39f8da003519df39fddb4a3caf2104be7aee8ac47b258239fa9c33f88679f1ac144d7d3a930309db1201fb037c2abff7e25952b0031dc420ec0d79bcaaca19b1c7021e6e845a9d68e9292df17af14fbc55071fef14a9364c94cd562508f53e25cae80cbdb78d3cd0f3c3c283823cccb646f805083b71d67,"Small, orange to reddish-brown pustules on the leaves, stalks, and husks. Pustules may erupt, releasing reddish-brown spores. Infected leaves may become yellow and wither.",Choose resistant corn varieties.Plant corn early in the season to avoid periods of high humidity.Avoid overhead irrigation.Apply fungicides as preventative sprays if necessary.,"Fungicides can be applied, but timing is crucial for effectiveness.Remove and destroy infected plant parts to prevent further spread."
11,Grape__Black_rot,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Grape___Black_rot/02c0e019-97c2-48f5-ac40-90b8789e6288___FAM_B.Rot%200753.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T223021Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=35a0f030bc6597f9efe307d75cd87f3078c5600b5550689f8f8f2b3f1d1d265230594c4a7ea335b3079eb687cc3c08a4f0872a93834d71115728184e6e6179b4801be57d66e6f57a392eafc9db4521d9808277d6afd60d9b5297a9b5b513188d82cc4a8a4e1b9b9e10584eaf5a3a2c1e4932a9466214fdad3c7333ae45b7d0ea0c54ed9c536c75bc7c98c96eb67eaf83c3e03e75f1b2a9ee031c33d813544b18a296373091f490734c780d52692415a557ae83ad83ac4628a73bd35b6728b1a652c4929d7656d92424d4dc45121bce4a047c072a1d6b22e974ce66f67925d02075c9a195552fa18d5ae512d13319489db2d7d34322865d5159ee37a6f4cce990,"Large, elongated, grayish-green lesions on leaves, often with a brown border.Lesions may merge, causing leaves to turn yellow and die.Infected stalks may become weak and break.",Choose resistant corn varieties.Rotate crops with non-host plants like soybeans or alfalfa.Plow under crop debris after harvest to minimize overwintering fungal spores.Apply fungicides as preventative sprays if necessary.,"Fungicides can be applied, but timing is crucial for effectiveness.Severely infected plants should be removed and destroyed to prevent further spread of the disease."
12,Grape__Esca(Black Measles),https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Grape___Esca_%28Black_Measles%29/04f61deb-4a81-4527-8cb2-f656957595ce___FAM_B.Msls%201218.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T223105Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=279a72a5e1bd8b3fb0b99522e564fd2f625adcf3e7bc302c63ad095dee44195842f7eb2d4d299f7d220528acb22561946c7b630992fcc2bdaeb57623ff713e6677f8e50ead69b00bd814779ef3c7cc9afc954762d3040c5c118bd002f7744e9e3a661ba3fb38a35dfa33219e8a2c0e770866f98b99d0ae8903c1416f0a823a0aebf12fb67889dfab0f91155725ce7851e191980c7626a0ed9983bb7e8498032b1a3e6f2ad8d724a391ed59f45cb67be9f6ed7e41e4d9d74a057ef513166086f6e5dbdad74ec33c207b843ab72b57bd321b1c511413718bbb18b5e3d997010210de218f7ef7f592399b961b0db86c2f4c8cb8c30c938b5d2e89b75f8b8b8a8ae9,"Tall, upright stalks with vibrant green leaves.Leaves are free of any discoloration, spots, or tears.Ears of corn are well-formed and husks are tightly wrapped.Kernels are plump and evenly distributed within the cob, with a characteristic bright yellow or orange color depending on the variety.",Maintain proper watering and fertilization practices throughout the growing season.Rotate crops with non-host plants to prevent the build-up of soilborne diseases.Regularly scout for signs of pests or diseases and take appropriate action if necessary.Choose disease-resistant corn varieties whenever possible.,
13,Grape__Leaf_blight(Isariopsis_Leaf_spot),https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Grape___Leaf_blight_%28Isariopsis_Leaf_Spot%29/0231ac9c-05aa-4710-8753-819c721b29b5___FAM_L.Blight%204639.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T223137Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=2f40f81553a8636841d2ab395924b4d94dfb76459613ad96fa960ac44035469d036b2545c92a3479d8188f24f8c8937de95374242b80f5460669b0beac84ae45dd728f19ad026136a070bc5409a278e93738989279f740cecd9978e6f9df79552aaf0c04f8404bb97ef5dfe8ee72006f98104e437b1678ed90b64da891f19dfcbb3aa668e9267fb304ceb41ca8543e43cb618c658b2de7792c32adadfaa1b00ea3fed1de4d6375c01d4c080fa8f7921a5f7e0e3c392916b5c311b0de568f7271b2ca3ad2371320e106708f5bdecc93129202ba3a66d3946da9dd4fb1b4501dbb0dc978efb9305c9e28c02b4bdab314def33bbd3ff0d8f7d23a814777ef61cd7a,"Circular, brown to black lesions on leaves, stems, and berries.Lesions on leaves may have a lighter-colored center and may eventually cause the leaves to drop.Infected berries turn dark brown to black and shrivel, becoming hard, raisin-like ""mummies"" that remain on the vine.Black, pimple-like structures (pycnidia) develop on the surface of infected berries, releasing spores that spread the disease.","Vineyard practices:Prune vines properly to promote good air circulation and sunlight penetration.Avoid overhead irrigation, as moisture on the leaves promotes fungal growth.Remove and destroy infected fruits (mummies) as soon as they are discovered.Consider planting resistant grape varieties.Fungicide application:Apply fungicides as preventative sprays before bud break and during the growing season, especially during periods of warm, humid weather.Follow the specific instructions and timing  recommendations on the chosen fungicide product","Once fruits are severely infected, the disease has likely been present for some time.Remove and discard all infected fruits immediately to prevent further spread of spores.Prune and remove any infected canes or leaves during the dormant season.Continue with preventative measures like fungicide sprays in the following season to prevent recurrence."
14,Grape__healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Grape___healthy/03492a0d-6ad7-42ec-a742-c2f1fa59499a___Mt.N.V_HL%206035.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T223229Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=10a399b863afb2343c0938439970a71525dab691b5a4ee9f492abda4dae648cf89c89d2fd395428e353170405facb9837ae4e44841ff9719e24f5ccd1f4efed6f06838a21ebbb49d58ed89eedae0f747274d486f81135f792ae017d01154a0f0ce2b93c51be4c1957e0196715acfd4a3226223009b77f19fdc867c53aa3106bf772d6733a5806e8f25ac496031b86ad00db69d6a27e712fce1d0e7907a38ce04a1a616beebf490eb2ceb357512d264e0230c72f6e7acdccdf0bb99135bde609e79f91130b3437c7e9512d979af404ec3a0ab87c57c3beb50c2611a3df698c69e2833637d3dbaffbc44a99d5faa890319d978b2bb934fda232a31d52af9d6ed66,"Esca is a complex and chronic fungal disease affecting grapevines.Black measles is a specific symptom associated with Esca, characterized by:Dark brown to black, irregular-shaped spots appearing on the berries.Spots may enlarge and merge, causing the berries to shrivel and dry out.Affected berries often fail to ripen fully.","Vineyard practices:Plant resistant grape varieties if available.Prune vines properly to improve air circulation and sunlight penetration.Avoid wounding the vines during pruning or other vineyard operations.Disinfect pruning tools to prevent the spread of fungal spores.Remove and destroy any dead or diseased wood promptly.Chemical treatments:While no direct cure exists, fungicides containing Trichoderma harzianum may provide some protection against fungal colonization.Follow specific application instructions and timing recommendations for chosen products.","Unfortunately, there is no effective treatment for Esca once symptoms appear.The following actions are crucial to minimize further spread and damage:Remove and destroy severely affected vines to prevent further contamination of the soil.Implement strict hygiene practices to avoid spreading fungal spores through tools or equipment.Focus on preventative measures in healthy vines to avoid future outbreaks."
15,Orange__Haunglongbing_(Citrus_greening),https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Orange___Haunglongbing_%28Citrus_greening%29/01b51788-e8b5-432b-9bff-44bd9b3c7277___CREC_HLB%206970.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T223329Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=412bf7201cc8e99685dcbc850b1b930cba762b1abf367188cefd1159615a364a71d2f4ebd7a521eed28c4693dae2c63ad23cc252c897dc780bf9f2b65e7a2a8fd05a0313e1f32c4bae57b395e0f2ba164304afb55d85ac14efd356622cb73e8a9c0ebca110376f0582a563f4fd0704fe384c3c0c2c03a02c33dd3d051ec5e4ae1e53d689707c75d77fd67c0d75d7b85db9f4d517a99554b8f73bb2ec29d5843e2575463707abb7a890f2701a2927e84ad777d10c92ac97376c46e7cce78f77b65c85f7341d4a02f9e96c028f6342e2f388ad90a0219d6efa74b349d73add2edf66503088cbecce9262316224066454f45e1c56c08b698085be15ae1dbf206828,"Small, angular, purple-brown spots on the upper surface of grape leaves.Corresponding, less conspicuous, brown spots on the lower leaf surface.As the disease progresses, spots may enlarge and merge, causing the leaves to turn yellow and eventually drop prematurely.In severe cases, the entire vine may become defoliated.In rare instances, the fungus can infect grape berries, causing small, brown, sunken lesions similar to black rot.","Vineyard practices:Choose resistant grape varieties if available.Ensure proper air circulation and sunlight penetration within the vineyard by pruning vines strategically.Avoid overhead irrigation, as moisture on the leaves promotes fungal growth.Remove and destroy fallen leaves and debris after harvest to reduce overwintering fungal spores.Fungicide application:Apply fungicides as preventative sprays before bud break and during the growing season, especially during periods of warm, humid weather.Follow the specific instructions and timing recommendations on the chosen fungicide product.","Once symptoms appear, fungicide application may still be effective in controlling the spread of the disease.Remove and destroy severely infected leaves to prevent further spore production and dissemination.Continue with preventative measures like fungicide sprays in the following season to minimize the risk of recurrence."
16,Peach__Bacterial_spot,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Peach___Bacterial_spot/02d4dbb4-cf3e-4101-a97d-f9a1885921dc___Rutg._Bact.S%201190.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T223450Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=ad8cde1ff47ef4055c58fb83d00db8fb490a369508d7b9cc84c272f23d9d10e2b0cbe947221973270a62979e44a847f03e4375987f40d83204d05c991eb7d9cbcc9c87ea00c6b7af0c66e74c980eacc859ccde83fe3215b8b366ebcbc66da237688606a11afde4ad39ed066410062650422640879d6a35c014036a33f3cc6ea8570187fb0ce2bfb83e05ca811870e9633514eb33b8aebc8c312190a3125ada40323cc270aa15c8e219b7abb5e1bc09038696bd6251165da708364a842dcdfcf12d3e1946f618e00a2a437a80cc86f1de257443a73eafc5c11b3e71007474994ca11a3a6dca44271bde07c3d1c902d29998c3e9e301d21637374f6e732300a3ab,"Vibrant green leaves with smooth, undamaged surfaces.No visible signs of discoloration, spots, or tears on the leaves.Canes (woody stems) are strong and healthy, with a characteristic brown color.Bunches of grapes are tightly packed with plump, evenly sized berries.Berries display a characteristic color for the variety, be it red, green, purple, or yellow, with a smooth, blemish-free skin and a light, whitish ""bloom"" that is natural for grapes.","Maintain proper watering and fertilization practices throughout the growing season.Prune vines strategically to promote good air circulation and sunlight penetration.Regularly scout for signs of pests or diseases and take appropriate action if necessary.Implement preventative measures like fungicide sprays before bud break and during the growing season, especially in regions prone to grape diseases.",
17,Peach__healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Peach___healthy/026aa11e-3f67-4951-9533-3c6ceb4c3d59___Rutg._HL%202494.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T223527Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=9ec242145fc2a7313e74d29314b42f2c559e42e48bc6dcc2bc4e0c1462a5282f3adb481dcb2581a78c3666a56a9bff39c273de0648c5ed1c4c43f4447851f881a37e6af9176d06ad9db0ca33b40ef301526826c3eaefd9075fe6d159baa3620b197385dcfc9d2e8ebf3741be2911e06ae383ed560ae1bf15d8924926c7f9efb80ebcdb0a2982efd883ff8d2412397b419bf78e42a23f39c21db684fe536d59fa7ae633303d9d847a6e9ae13fcde79e6b3ad1c00b1ebc8a8472c617176178d03b3f2160e63d6598488ac3b3b4de58f866d18161fedf4c11ad453bf40542ee0bd0e3d23a81878418a38d0785e2c24e4051c919c53119b2f1d822de644b2df6e259,"Uneven fruit ripening: Oranges may develop blotchy, green patches on the rind even when seemingly ripe.Small, stunted fruit: Infected oranges often remain smaller than healthy fruits and may be lopsided in shape.Bitter taste: Despite appearing ripe, the fruit may have an off-putting, bitter taste due to the altered sugar content. Asymmetrical canopy: The tree's canopy may appear uneven or lopsided, with some branches showing excessive growth while others decline.Yellowing shoots: New shoots may exhibit a yellowing of the leaves along the veins, giving the foliage a mottled appearance.","Plant certified disease-free trees: Purchase citrus trees only from reputable nurseries that guarantee their stock is free of Huanglongbing.Control the Asian citrus psyllid: This insect is the primary vector for spreading the disease. Implement integrated pest management (IPM) strategies to control psyllid populations, including insecticidal sprays, natural enemies, and cultural practices.Monitor your trees regularly: Inspect your orange trees frequently for any signs of the disease. Report any suspected cases to your local agricultural authorities.Remove infected trees promptly: Once a tree is confirmed to have Huanglongbing, immediate removal and destruction are crucial to prevent further spread within your orchard.","No cure exists: Unfortunately, there is no known cure for citrus greening once a tree is infected.Focus on prevention and early detection: The best course of action is to implement preventative measures and remove infected trees as soon as possible to minimize the disease's impact on your orchard.Research advancements: While a complete cure remains elusive, researchers are actively investigating potential solutions, including gene editing and the use of antimicrobials."
18,"Pepper,_bell__Bacterial_spot",https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Pepper%2C_bell___Bacterial_spot/0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot%208897.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240527%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240527T163858Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=ad2d77345852ee4f7249358e73a3f4536621259a7e47da3f3bff5014aeedd3b147bb3d41fb0ee0af35b480b3580fb3e80f556a2aa7d38bfd1c8d17ea2b3bf601c46c8b8fc785f5e18abe1b2015f4668060b1069cf664c10eda206b4c62626ec2d4f26c2656ddc4654994dade64fc46d0cc6e72772dd3bbc24e4f21010b66ba787bc916672890d6233069e5a50b8a94a5a6a0dcbf08bc8208729815bf26d6e8402b0c26fe0b026466aff16787e850c2be7a1e1fd80520e9b8ed32d7885f7ebdfb5d161f5b4f65a5e3ab411950b4e8b7abf3769e33d00e3bb14d3f94537e70a8dc5baefbcd54062e29d573eab1b086b3bf757ce8179af639c46cdd7632ae4511c3,"Small, circular, dark brown to black spots on the leaves, often clustered near the tips or edges.Lesions may enlarge and merge, causing the leaves to become misshapen and drop prematurely.In severe cases, the entire tree may appear defoliated.Yellowing of leaf tissue around the lesions","Plant resistant varieties: This is the most effective preventative measure. Choose peach cultivars known for their resistance to bacterial spots.Orchard sanitation:Remove and destroy fallen leaves, infected fruits, and prunings to reduce overwintering bacterial populations.Avoid overhead irrigation, as moisture on leaves promotes bacterial growth.Prune trees properly to improve air circulation and sunlight penetration.Copper fungicides:Apply copper-based fungicides as preventative sprays before bud break and during the early stages of fruit development.Follow the specific instructions and timing recommendations on the chosen fungicide product.","Limited options: Unfortunately, once symptoms appear, treatment options are limited.Severe cases: Severely infected trees may need to be removed and destroyed to prevent further spread within the orchard.Fungicides: In less severe cases, copper fungicides may still be applied to suppress the spread of the bacteria.Cultural practices: Maintain good orchard hygiene and continue preventative measures to minimize the risk of future outbreaks."
19,"Pepper,_bell__healthy",https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Pepper%2C_bell___healthy/023563f1-a71a-433d-aefc-d6c7aef8e9eb___JR_HL%208067.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T223739Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=35fc405c070b977f60b655e21b3aad2bd34d59784413535bcc07c87711784873004c10b2821e0b3cf9d599b80d5f13649e58bb9f03988e502bc048be7b5ec847f971566716f4c47ae52ae72b9eb6758bc6a242de60ec7d2470f40b7321d402e664c48f0b72c3b63f50f9d8eb4c236bfdd35bf68d79a6e12096b02abb84ac29851a2ad09a4710a12b286fcfca80365446824aab73bb9419c6b5d1023e40cfc360db8a9b986dfabd2027aa95c96d87f85668274d1ea69ae56d9fb09f26537adfc77a46e963f7e210bc73915198a9906c5d88ba1b5b5edcf323105c41163863f7f28ddaf1e512e73a7219ce3d67c5866ffd1ddd25a7365c04bcfe55902cd87349e0,"Deep green, smooth, and free of any discoloration, spots, or tears.",Maintain proper watering and fertilization practices throughout the growing season.Prune trees strategically to promote good air circulation and sunlight penetration within the canopy.Regularly scout for signs of pests or diseases and take appropriate action if necessary.Implement preventative measures like copper fungicide sprays before bud break and during the early stages of fruit development.,
20,Potato__Early blight,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Potato___Early_blight/07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B%206815.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240526%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240526T155607Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=78af5616fcbafafcabc5766643e1270735e7e146986862e35e71a10f7ba1808e63de5b6aa88a7516e0edd969cef70370db2edc9ed4c664311865e3a4a01d775cf482900c2f9395136ef0911fd8ed5d98f1ec020ce9c1c0e5cc5007ccb47871021c55f6ad22ecb0f1c6a671f8983c7a7b38221ec26185eb1b13c7ccde5852a026ef83eb221500cc4c021b49d3749bba198d07f37f8935b8986e166c93f5240bfbfbb1df05f4967c5598adafe2c88bb730a01096611c1b23dd0e14eb85b3b677dd0c901ee78555e8bebfc559fa497d850b856867ccd552868d235e1266880dc97c91518d9cc889eb14cb20a4fde66d0ae60ee213ec75e1a7b6d62e3a152b5054ff,"Small, water-soaked spots: These appear initially on the lower leaf surface, often starting as pimples.Tan to brown lesions: As the disease progresses, the spots on the upper leaf surface become tan or brown, sometimes with a slightly greasy appearance.Angular or irregular shape: Lesions may develop an angular or irregular shape as they enlarge.Size: Lesions typically range from 1/16 to 1/4 inch in diameter.No yellow halo: Unlike some other leaf diseases, bacterial spot lesions on pepper leaves usually lack a yellow halo around them.Premature defoliation: In severe cases, heavily infected leaves may drop prematurely, leaving the plant vulnerable to sunscald.","Plant resistant varieties: Choosing pepper cultivars known for resistance to bacterial spots is the most effective preventative measure.Cultural practices:Rotate crops with non-host plants like corn or beans to break the disease cycle.Avoid overhead watering, as moisture on leaves promotes bacterial growth.Space plants adequately improve air circulation and sunlight penetration.Remove and destroy fallen leaves and plant debris after harvest to reduce overwintering bacterial populations.Copper fungicides:Apply copper-based fungicides as preventative sprays before transplanting and during the growing season, especially during periods of warm, humid weather.Follow the specific instructions and timing recommendations on the chosen fungicide product.","Limited options: Once symptoms appear, treatment options are limited.Severe cases: Severely infected plants may need to be removed and destroyed to prevent further spread within the garden.Fungicides: In less severe cases, copper fungicides may still be applied to suppress the spread of the bacteria on the leaves.Hygiene: Maintain good garden hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the bacteria."
21,Potato__Late blight,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Potato___Late_blight/02282fee-ba3f-460e-91e0-630204ab96c2___RS_LB%205031.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240527%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240527T163921Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=2c0dd3af69ca909e2cfa37a401120a24485dcad3960613404e2933850543acfd6a22c48f18c205ed90e8871022e5c380c2b88bffd921a62b022f40446cd50ed5c96882467562c10e34f2a86275bce50b047a3c673abf56394f7016d0c407986b0e9ddbbf100332511b11d9321e8d8e6f2dd95837a37bd59cbe735db4bee9acab5c493f61f2ac7c2e5b4d7920be75af14f71ada33699aa42179712366dfd14e99acda47b135bbf8956db87b44ecb57f4a1b525af4e7c4d52d105caea2f8c4ce2f9ee46b2767262a9e5b76930fe65f0c4290ec0ce4a0e2d574531740b048d16c6cdebd54252f2e813ca644341dae230a59952547baf227158d1c53e5645c02c1cc,"Deep green color: Leaves should be a vibrant, uniform green without any discoloration or fading.Smooth and glossy surface: Healthy leaves have a smooth, waxy appearance with a slight shine.Firm texture: Leaves should be firm and flexible, not wilted or brittle.No visible spots or blemishes: The absence of any spots, lesions, or holes in the leaves indicates good health.Consistent size and shape: Healthy leaves will be relatively uniform in size and shape, without any significant deformities or curling.Veins: Veins should be clearly visible but not raised or discolored.Overall healthy appearance: The overall impression should be of a healthy, actively growing plant with vigorous foliage.","Maintain proper watering practices, avoiding overwatering or underwatering.Provide adequate sunlight, typically around 6-8 hours per day.Fertilize regularly with a balanced fertilizer suitable for vegetables.Space plants adequately to allow for good air circulation and prevent overcrowding.Regularly monitor your plants for signs of pests or diseases and take appropriate action if necessary.",
22,Potato__healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Potato___healthy/0b3e5032-8ae8-49ac-8157-a1cac3df01dd___RS_HL%201817.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240527%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240527T163907Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=052ca54c64a737c5c2b1b6fa9d51c19d6ff57f1aff55efa341b473de4a3cb2a24f9622f1688c37297f8713e24c9a81022445ed2c91d8e869106f5ca5bdea9f4417bcfe577c833131aa0b8d0612d27ef16431258078a64a1fd148a7a10c634c211581de2c64fadb13286a5cd71a717a609f0fb00f22d8f385c7655db8adb34f85e30ccd27713186cb242adc7f51aaa45af95bd60820d0497dacfc8cfc0127abd0f4735567b5ae68b3ec0d379fcfa150f63adceabeca0806d1fbd56b180cff076873a40be62ca8bc2138a60c7e0f31042d5e7561d9977cea373e427a4e6a9b1ba036316b060aa1be603f470f2d8c601d4e5c55b00c5fd8d98e5ed19229ab819dbc,"Small, brown to black spots: Initial symptoms appear as small, dry, papery flecks on the leaves.Enlargement: These spots gradually enlarge, becoming brown-black, circular to oval lesions.Concentric rings: Often, the lesions develop concentric rings, giving them a ""target spot"" appearance.Angular borders: Veins may border the lesions, causing them to appear angular.Yellow halo: In some cases, a yellow halo may surround the lesions.Spread: As the disease progresses, the lesions can merge and cover large areas of the leaf, leading to defoliation.","Plant certified disease-free seed tubers: This is the most crucial preventative measure.Crop rotation: Rotate potatoes with non-host crops like corn, beans, or small grains to break the disease cycle.Sanitation: Remove and destroy infected plant debris after harvest to reduce overwintering fungal spores.Spacing: Plant potatoes with adequate spacing to improve air circulation and prevent overcrowding.Fungicides: Apply preventative fungicides containing chlorothalonil, maneb, or copper before symptoms appear, especially during warm, humid weather.","Fungicides: Once symptoms appear, fungicide application can still help slow the spread of the disease.Severe cases: In severe cases, heavily infected plants may need to be removed and destroyed to prevent further spread within the field.Cultural practices: Maintain good hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the fungus."
23,Raspberry healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Raspberry___healthy/12a43ab6-1f18-4b10-9fb4-4865b216d28e___Mary_HL%209156.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T224018Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=ba5771cebd17aa7597ac04d84f907479136a884a9f4b55b6f92ac7343c24cff1a5ad5fc26764b67d3605ff8f81e7008c6276061eec3339737d92a0a59e641012d59e194e44af8144678ceb857f86b49c205846eb47137a160158a823688cba19e89405168d0d0f1cae631663964d6e3d036fa04d58f3fbeaf754f3a7aafc59b55ebab771460cc18625f6ee3b8d46424d7cdcdb2c66dec6c87dfd6d0814c0613a5786336827cd616f33d201654f6aab87db82c0f1c92a9ab114bf8a689d6cbdb1b365dd695d4e7fb0f6fcd4193db3598bbb4320b81b318332c43ffe11e82d9ed2578c1166301566c66b7d45ead33e1924f0030b5529a23c44ae6010c29045d849,"Water-soaked spots: Initial symptoms appear as small, light to dark green, water-soaked spots on the leaves.Enlargement: These spots rapidly expand into larger, irregular, brown or black lesions.Greasy appearance: Under humid conditions, the lesions may develop a greasy or oily sheen.Size: Lesions can grow to cover large portions of the leaf surface.Margin: The margins of the lesions may be irregular or have a slightly wavy appearance.Halo: A pale green or yellow halo often surrounds the brown or black lesions.Sporulation: In humid conditions, white or grayish fungal growth (sporulation) may be visible on the underside of the lesions.","Plant certified disease-free seed tubers: This is the most crucial preventative measure.Fungicides: Apply preventative fungicides containing chlorothalonil, maneb, or copper before symptoms appear, especially during periods of cool, moist weather.Crop rotation: Rotate potatoes with non-host crops like corn, beans, or small grains to break the disease cycle.Sanitation: Remove and destroy infected plant debris after harvest to reduce overwintering fungal spores.Spacing: Plant potatoes with adequate spacing to improve air circulation and prevent overcrowding.Monitoring: Regularly monitor your potato plants for signs of the disease, especially during cool, humid weather conditions.","Fungicides: Once symptoms appear, fungicide application can still help slow the spread of the disease, but early intervention is crucial.Severe cases: In severe cases, heavily infected plants may need to be removed and destroyed to prevent further spread within the field.Cultural practices: Maintain good hygiene by removing infected leaves and debris, and avoid working with wet plants to minimize the risk of further spreading the fungus."
